,non,ips,ips/non
SALL1,7.772606042592594,47.42,5.519454511568411
ZNF215,0.934732212962963,9.725,5.543402817269012
ZNF486,2.6085821111111107,19.18,5.592224141959851
ZNF138,5.233266499999998,33.935,5.604605546706532
PRDM5,2.814348437037037,20.53,5.644476469675743
ZNF880,5.0462630555555545,33.349999999999994,5.6811950926345824
ZNF322,3.0073368888888896,21.810000000000002,5.692059497978596
KIN,5.005432222222222,33.22,5.698174375088924
BCL11A,2.9169914185185184,21.335,5.702080401403465
MAZ,27.06295740740741,162.63000000000002,5.83081810033353
ZNF726,0.5374152537037039,8.195,5.980817464799326
ZNF681,1.0996523333333335,11.575,5.9890867646818355
ZBTB3,2.405296444444445,19.415,5.995072773563064
ZNF544,6.528064111111113,44.57000000000001,6.053349085157307
ZNF567,3.144855074074075,24.095000000000002,6.0544939573323955
ZNF281,6.921584074074076,48.01500000000001,6.187525063379345
ZNF678,2.043836444444444,17.865,6.197770591265526
ZNF124,1.4280770740740745,14.065,6.204498267726902
ZNF101,3.6715540000000004,28.225,6.255948234784399
ZNF66,0.6112222203703703,9.165,6.30887525723384
ZNF253,4.234849018518519,32.155,6.333515996872626
ZNF813,1.3675915555555553,14.100000000000001,6.377789262074296
ZNF525,2.7864925740740736,23.22,6.396420837012367
ZNF585A,2.9099686851851834,24.200000000000003,6.445064405626176
IRX2,5.19321537037037,39.77000000000001,6.583010207436377
ZIK1,2.413315388888889,21.770000000000003,6.670933507674528
ZNF571,2.000111203703703,19.015,6.671419371152323
TBPL1,12.44289259259259,90.03500000000001,6.771980016426141
KDM5B,12.544641666666669,91.715,6.845142328731471
TCF3,21.614485740740747,155.12,6.903539695300019
ZNF92,4.400434462962964,36.315,6.909629263332827
ZNF583,1.612676518518519,17.54,7.096171251431019
ZNF573,1.0015418759259258,13.275,7.132001669161328
ARID3A,4.889016370370371,41.709999999999994,7.252484509108927
KCMF1,16.39584537037037,126.725,7.342270368621967
KAT7,13.124391481481481,105.265,7.523509960717547
ARID3B,6.85890148148148,59.045,7.640380801501145
CEBPZ,20.826312037037034,166.765,7.686364957823375
LHX5,0.2368213066666667,8.575,7.741619543897896
ZNF560,0.3304558188888889,9.365,7.790563093373654
SALL3,1.006519922037037,14.724999999999998,7.836951842489477
E2F7,0.7322159759259259,12.79,7.960901060636388
ZNF431,4.516245462962963,43.11500000000001,7.997287339041716
SIX4,1.3004709296296297,17.560000000000002,8.067913295904207
ZNF675,2.6887251296296295,29.78,8.344346330595389
ZNF850,0.8859541111111111,14.885000000000002,8.422792424488708
SOX4,12.310811592592588,111.485,8.450649249862227
ZNF195,7.979463703703703,77.16499999999998,8.704862849187723
ZNF207,26.180662777777773,237.615,8.778851419145145
LCORL,1.4404527777777778,20.490000000000002,8.80574301444518
HESX1,1.5012883,21.99,9.191263558063259
ZNF114,0.4602830629629629,12.875,9.501582502673942
ZNF43,3.5208050555555563,45.67,10.32338254502876
ZIC5,2.4552027251851856,35.980000000000004,10.70270051897404
ZNF788,1.5463953148148148,26.425000000000004,10.770126633693746
E2F5,4.416853,57.4,10.781167589373387
ZNF519,1.6412232370370372,27.689999999999998,10.86239118211941
ZNF814,3.3594562962962957,49.489999999999995,11.58171950086878
FOXM1,4.248821222222222,60.550000000000004,11.726442451385541
TFDP2,9.348659074074073,121.195,11.807809990197514
ZNF121,8.034502962962963,105.775,11.818580439646233
SALL2,11.892686037037034,155.11,12.108415542854313
ZNF649,4.530871611111109,68.50999999999999,12.567639404313704
ZNF732,0.6627991870370372,20.0,12.629306150564197
ZNF286A,3.0095354999999993,50.504999999999995,12.845627629434881
ZNF714,1.8433716999999996,36.959999999999994,13.350347406214953
NFE2L3,6.17422537037037,95.86,13.501109178982984
SOX3,0.4776947574074075,19.47,13.852657930460751
SOX2,15.982229853703704,234.82,13.886280072258552
ZIC2,11.214849506666663,170.565,14.045608986534189
MYBL2,5.779438185185184,94.49000000000001,14.085237949166675
NANOGP8,0.08755043333333334,15.135,14.8360935782503
FEZF1,0.3600334757407407,19.225,14.870957488001888
CENPA,1.3144959111111112,33.545,14.925496231884082
CAMTA1,10.007275740740742,164.99000000000004,15.080025603940184
ZNF677,1.9434687259259258,44.415,15.429075090890874
ZNF695,0.1409858851851852,17.990000000000002,16.643501244467956
TET1,0.6689153907407405,27.68,17.184813657491958
ZBTB9,0.0,16.205,17.205
TGIF1,10.11938525925926,233.125,21.0555704781468
SOX11,0.3613315466666667,27.675,21.063935578524656
NR6A1,2.662631962962962,78.95500000000001,21.82993017275991
HMGA1,71.52986351851851,1649.0300000000002,22.749663655146826
MYCN,1.4035879259259263,54.825,23.225694969529656
ETV4,2.473795037037036,79.70499999999998,23.232516351579882
ZNF93,1.2427214814814818,60.69,27.506759314245848
PRDM14,0.016938916666666665,28.46,28.969291583966818
ZIC3,1.2215739394444445,65.75999999999999,30.050766627508633
ZNF730,0.23396324259259257,38.13,31.71083112474788
TERF1,15.321695740740742,630.3699999999999,38.68286788510774
OTX2,0.9884001314814815,82.375,41.930695276046094
FOXH1,0.23114461666666666,57.85,47.8010456312897
SALL4,0.7344617666666666,83.69,48.82782752989674
NANOG,0.016143553703703704,64.27000000000001,64.23305030288272
LIN28B,0.12744642962962963,74.445,66.91670488041188
HES3,0.007976037037037037,73.655,74.06426071342894
HMGA2,0.36521758981481484,107.85499999999999,79.73454254626593
ZFP42,0.09845076111111112,122.595,112.51756052768398
ZSCAN10,0.05570168833333335,122.26500000000001,116.7612038156366
LIN28A,0.2384878046296296,820.135,663.0141991955752
